Scale,Model,Condition,Item_Text
Consistency of Interest,gemini,Re-Ranked RAG,I tend to finish what I start.
Consistency of Interest,gemini,Re-Ranked RAG,I get easily bored with my current projects.
Consistency of Interest,gemini,Re-Ranked RAG,"Once I commit to something, I see it through."
Consistency of Interest,gemini,Re-Ranked RAG,New ideas often pull me away from my current goals.
Consistency of Interest,gemini,Re-Ranked RAG,I can stay focused on one ambition for a long time.
Consistency of Interest,gemini,Re-Ranked RAG,I find it hard to resist exploring new interests.
Consistency of Interest,gemini,Re-Ranked RAG,My long-term goals remain my priority.
Consistency of Interest,gemini,Re-Ranked RAG,I often jump to new hobbies or obsessions.
Consistency of Interest,gemini,Re-Ranked RAG,I have a sustained dedication to my chosen pursuits.
Consistency of Interest,gemini,Re-Ranked RAG,I'm always looking for the next exciting thing to do.
Consistency of Interest,gemini,Re-Ranked RAG,I can resist the allure of novelty when focused.
Consistency of Interest,gemini,Re-Ranked RAG,My interests are fleeting.
Consistency of Interest,gemini,Re-Ranked RAG,I am steadfast in pursuing my ambitions.
Consistency of Interest,gemini,Re-Ranked RAG,I easily get distracted by unrelated opportunities.
Consistency of Interest,gemini,Re-Ranked RAG,I maintain a deep and lasting interest in my endeavors.
Consistency of Interest,gemini,Re-Ranked RAG,I rarely stick with one major goal for very long.
Consistency of Interest,gemini,Re-Ranked RAG,I am committed to seeing my projects to completion.
Consistency of Interest,gemini,Re-Ranked RAG,The thought of new projects is always tempting.
Consistency of Interest,gemini,Re-Ranked RAG,My focus on my primary ambition is unwavering.
Consistency of Interest,gemini,Re-Ranked RAG,I am prone to abandoning projects prematurely.
Consistency of Interest,gemini,Re-Ranked RAG,I find satisfaction in prolonged engagement with a single pursuit.
Consistency of Interest,gemini,Re-Ranked RAG,My attention shifts rapidly between interests.
Consistency of Interest,gemini,Re-Ranked RAG,I can suppress the urge to chase every new idea.
Consistency of Interest,gemini,Re-Ranked RAG,I have a history of unfinished endeavors.
Consistency of Interest,gemini,Re-Ranked RAG,I feel a strong sense of continuity in my aspirations.
Consistency of Interest,gemini,Re-Ranked RAG,I am easily captivated by novel pursuits.
Consistency of Interest,gemini,Re-Ranked RAG,My dedication to a single objective is enduring.
Consistency of Interest,gemini,Re-Ranked RAG,I have difficulty maintaining focus on one thing.
Consistency of Interest,gemini,Re-Ranked RAG,I consistently invest my energy in my chosen path.
Consistency of Interest,gemini,Re-Ranked RAG,I find it challenging to resist the pull of new interests.
Consistency of Interest,gemini,Re-Ranked RAG,I am resolved to achieve my long-term ambitions.
Consistency of Interest,gemini,Re-Ranked RAG,I frequently find myself starting over with new ventures.
Consistency of Interest,gemini,Re-Ranked RAG,My focus is stable and persistent on my primary goals.
Consistency of Interest,gemini,Re-Ranked RAG,I am often drawn to the novelty of different pursuits.
Consistency of Interest,gemini,Re-Ranked RAG,I have a strong capacity to stay the course.
Consistency of Interest,gemini,Re-Ranked RAG,I have a tendency to flit from one interest to another.
Consistency of Interest,gemini,Re-Ranked RAG,My current ambitions hold my sustained attention.
Consistency of Interest,gemini,Re-Ranked RAG,I am easily swayed by exciting new possibilities.
Consistency of Interest,gemini,Re-Ranked RAG,I am reliable in my commitment to a singular ambition.
Consistency of Interest,gemini,Re-Ranked RAG,I often abandon my current projects for something else.
Perseverance of Effort,gemini,Re-Ranked RAG,I keep going even when things get tough.
Perseverance of Effort,gemini,Re-Ranked RAG,I don't give up easily when faced with challenges.
Perseverance of Effort,gemini,Re-Ranked RAG,"I see tasks through to completion, no matter the difficulties."
Perseverance of Effort,gemini,Re-Ranked RAG,"When I encounter a problem, I'm determined to find a solution."
Perseverance of Effort,gemini,Re-Ranked RAG,I persist in my efforts even after experiencing setbacks.
Perseverance of Effort,gemini,Re-Ranked RAG,I can maintain focus on my goals despite obstacles.
Perseverance of Effort,gemini,Re-Ranked RAG,Difficulties rarely deter me from achieving what I set out to do.
Perseverance of Effort,gemini,Re-Ranked RAG,I am resilient in the face of adversity.
Perseverance of Effort,gemini,Re-Ranked RAG,I am driven to finish what I start.
Perseverance of Effort,gemini,Re-Ranked RAG,I don't let temporary failures stop me.
Perseverance of Effort,gemini,Re-Ranked RAG,I have the determination to see projects through.
Perseverance of Effort,gemini,Re-Ranked RAG,"Even when progress is slow, I continue to work."
Perseverance of Effort,gemini,Re-Ranked RAG,I bounce back from setbacks and keep pushing forward.
Perseverance of Effort,gemini,Re-Ranked RAG,I am committed to overcoming hurdles.
Perseverance of Effort,gemini,Re-Ranked RAG,I don't shy away from hard work when faced with opposition.
Perseverance of Effort,gemini,Re-Ranked RAG,"When I hit a roadblock, I redouble my efforts."
Perseverance of Effort,gemini,Re-Ranked RAG,I am persistent in pursuing my objectives.
Perseverance of Effort,gemini,Re-Ranked RAG,I find ways to move forward when things get stuck.
Perseverance of Effort,gemini,Re-Ranked RAG,I remain dedicated to my tasks even when they become arduous.
Perseverance of Effort,gemini,Re-Ranked RAG,I am not easily discouraged by difficulties.
Perseverance of Effort,gemini,Re-Ranked RAG,I possess the grit to finish what I begin.
Perseverance of Effort,gemini,Re-Ranked RAG,I can persevere through demanding situations.
Perseverance of Effort,gemini,Re-Ranked RAG,I don't let setbacks derail my progress.
Perseverance of Effort,gemini,Re-Ranked RAG,I am unwavering in my pursuit of completion.
Perseverance of Effort,gemini,Re-Ranked RAG,"When challenges arise, I am motivated to overcome them."
Perseverance of Effort,gemini,Re-Ranked RAG,I have a strong will to see things through.
Perseverance of Effort,gemini,Re-Ranked RAG,I can sustain effort through prolonged difficulties.
Perseverance of Effort,gemini,Re-Ranked RAG,I don't abandon tasks when they become complicated.
Perseverance of Effort,gemini,Re-Ranked RAG,I am resolute in my approach to achieving goals.
Perseverance of Effort,gemini,Re-Ranked RAG,I am able to push through when things feel overwhelming.
Perseverance of Effort,gemini,Re-Ranked RAG,I refuse to be defeated by obstacles.
Perseverance of Effort,gemini,Re-Ranked RAG,I am driven to complete my commitments.
Perseverance of Effort,gemini,Re-Ranked RAG,"Even when faced with significant challenges, I continue working."
Perseverance of Effort,gemini,Re-Ranked RAG,I can endure hardship to reach my objectives.
Perseverance of Effort,gemini,Re-Ranked RAG,I don't let minor issues stop my progress.
Perseverance of Effort,gemini,Re-Ranked RAG,I am committed to seeing my plans through to the end.
Perseverance of Effort,gemini,Re-Ranked RAG,"When things get tough, I dig deeper."
Perseverance of Effort,gemini,Re-Ranked RAG,I am tenacious in my efforts.
Perseverance of Effort,gemini,Re-Ranked RAG,I can maintain focus on my goals despite interruptions.
Perseverance of Effort,gemini,Re-Ranked RAG,I am known for my persistence.
