Scale,Model,Condition,Item_Text
Consistency of Interest,deepseek,RAG,I remain fully committed to my original goals.
Consistency of Interest,deepseek,RAG,I can work effectively on the same task for long periods.
Consistency of Interest,deepseek,RAG,"When working on a project, I maintain a clear direction."
Consistency of Interest,deepseek,RAG,I resist the urge to suddenly start a completely new endeavor.
Consistency of Interest,deepseek,RAG,I focus my efforts intensely on the things I choose.
Consistency of Interest,deepseek,RAG,My determination doesn't waver once I set a goal.
Consistency of Interest,deepseek,RAG,I avoid abandoning projects unless necessary.
Consistency of Interest,deepseek,RAG,I find it easy to stick with a plan over months.
Consistency of Interest,deepseek,RAG,My focus doesn't get scattered by new ideas.
Consistency of Interest,deepseek,RAG,I can maintain interest in a topic for sustained periods.
Consistency of Interest,deepseek,RAG,I have the ability to delay exploring new options for my main goal.
Consistency of Interest,deepseek,RAG,I have strong staying power with the things I start.
Consistency of Interest,deepseek,RAG,My resolve strengthens with time on a task.
Consistency of Interest,deepseek,RAG,My attention stays locked on what I'm working towards.
Consistency of Interest,deepseek,RAG,I don't lose enthusiasm easily for my chosen path.
Consistency of Interest,deepseek,RAG,I am willing to see an idea through to completion.
Consistency of Interest,deepseek,RAG,I can ignore distractions to maintain progress.
Consistency of Interest,deepseek,RAG,I don't frequently change my primary focus.
Consistency of Interest,deepseek,RAG,My dedication remains strong even in difficult times.
Consistency of Interest,deepseek,RAG,I resist shifting my energy to new projects.
Consistency of Interest,deepseek,RAG,I have a clear long-term objective I'm focused on.
Consistency of Interest,deepseek,RAG,I don't let my interest fade quickly.
Consistency of Interest,deepseek,RAG,I avoid getting sidetracked by less important matters.
Consistency of Interest,deepseek,RAG,I have the capacity to follow through without shifting.
Consistency of Interest,deepseek,RAG,My commitment is unwavering to my key ambitions.
Consistency of Interest,deepseek,RAG,I minimize time spent on distractions.
Consistency of Interest,deepseek,RAG,I persistently pursue the things I value most.
Consistency of Interest,deepseek,RAG,I don't easily become interested in multiple new things.
Consistency of Interest,deepseek,RAG,I keep my focus intensely concentrated on my main goal.
Consistency of Interest,deepseek,RAG,I resist being drawn away by emerging interests.
Consistency of Interest,deepseek,RAG,I don't frequently shift between different priorities.
Consistency of Interest,deepseek,RAG,I have the persistence to complete what I start.
Consistency of Interest,deepseek,RAG,I stay dedicated to achieving my chosen objectives.
Consistency of Interest,deepseek,RAG,My interests are stable and enduring.
Consistency of Interest,deepseek,RAG,I avoid getting bored quickly with long-term tasks.
Consistency of Interest,deepseek,RAG,I resist the temptation to follow fleeting interests.
Consistency of Interest,deepseek,RAG,I maintain consistent engagement with my main project.
Consistency of Interest,deepseek,RAG,I don't allow external stimuli to disrupt my focus.
Consistency of Interest,deepseek,RAG,I am able to delay pursuing new ideas to stick with the main one.
Perseverance of Effort,deepseek,RAG,I start the tasks I plan.
Perseverance of Effort,deepseek,RAG,I finish the tasks I begin.
Perseverance of Effort,deepseek,RAG,"After setbacks, I push harder."
Perseverance of Effort,deepseek,RAG,Obstacles don't prevent me from finishing.
Perseverance of Effort,deepseek,RAG,I don't quit when things get tough.
Perseverance of Effort,deepseek,RAG,It's hard for me to persist with difficult tasks.
Perseverance of Effort,deepseek,RAG,Setbacks sometimes make me stop trying.
Perseverance of Effort,deepseek,RAG,I can continue working hard even when it's hard.
Perseverance of Effort,deepseek,RAG,I give up easily on challenging tasks.
Perseverance of Effort,deepseek,RAG,"When tasks are difficult, I tend to quit."
Perseverance of Effort,deepseek,RAG,I don't mind working hard for a long time.
Perseverance of Effort,deepseek,RAG,I lose enthusiasm when faced with difficulties.
Perseverance of Effort,deepseek,RAG,My persistence helps me complete what I start.
Perseverance of Effort,deepseek,RAG,I find it easy to keep going despite failures.
Perseverance of Effort,deepseek,RAG,It takes a lot to make me give up on something.
Perseverance of Effort,deepseek,RAG,I don't let small setbacks derail my efforts.
Perseverance of Effort,deepseek,RAG,"I work until a task is done, regardless of the struggle."
Perseverance of Effort,deepseek,RAG,Failure doesn't stop me from trying again.
Perseverance of Effort,deepseek,RAG,I stay committed to tasks even when progress is slow.
Perseverance of Effort,deepseek,RAG,I get discouraged quickly if things don't go smoothly.
Perseverance of Effort,deepseek,RAG,I stick with a task until I see it through to the end.
Perseverance of Effort,deepseek,RAG,I don't continue efforts needlessly.
Perseverance of Effort,deepseek,RAG,It's easy for me to stop when something is too difficult.
Perseverance of Effort,deepseek,RAG,I can't seem to finish what I begin.
Perseverance of Effort,deepseek,RAG,Difficult tasks exhaust my determination.
Perseverance of Effort,deepseek,RAG,I often stop when the going gets rough.
Perseverance of Effort,deepseek,RAG,I persevere through challenges that others might avoid.
Perseverance of Effort,deepseek,RAG,I have the determination to complete demanding tasks.
Perseverance of Effort,deepseek,RAG,I lose steam when facing repeated difficulties.
Perseverance of Effort,deepseek,RAG,I tend to abandon tasks that prove too challenging.
Perseverance of Effort,deepseek,RAG,My work ethic enables me to overcome obstacles.
Perseverance of Effort,deepseek,RAG,I don't mind the effort when the task requires it.
Perseverance of Effort,deepseek,RAG,Setbacks are a common reason I stop trying.
Perseverance of Effort,deepseek,RAG,I persist with tasks that require sustained effort.
Perseverance of Effort,deepseek,RAG,It's frustrating when I can't complete what I start.
Perseverance of Effort,deepseek,RAG,I'm able to keep working hard for my goals.
Perseverance of Effort,deepseek,RAG,I sometimes start tasks but never finish them.
Perseverance of Effort,deepseek,RAG,It's easy for me to get discouraged and quit.
Perseverance of Effort,deepseek,RAG,I'm not easily worn down by persistent challenges.
Perseverance of Effort,deepseek,RAG,"I can sustain my efforts over long periods, even if it's tough."
