Scale,Model,Condition,Item_Text
Consistency of Interest,gpt,No-RAG,I often switch my focus to new interests.
Consistency of Interest,gpt,No-RAG,I stay committed to my long-term goals.
Consistency of Interest,gpt,No-RAG,I frequently find myself distracted by new ideas.
Consistency of Interest,gpt,No-RAG,I prefer to delve deeply into one subject at a time.
Consistency of Interest,gpt,No-RAG,I easily lose interest in ongoing projects.
Consistency of Interest,gpt,No-RAG,I enjoy pursuing a single passion for an extended period.
Consistency of Interest,gpt,No-RAG,I jump from one hobby to another without finishing them.
Consistency of Interest,gpt,No-RAG,I maintain my enthusiasm for my primary ambition.
Consistency of Interest,gpt,No-RAG,I often abandon my plans for new opportunities.
Consistency of Interest,gpt,No-RAG,I thrive when I concentrate on one goal.
Consistency of Interest,gpt,No-RAG,I am quick to change direction when a new idea excites me.
Consistency of Interest,gpt,No-RAG,I find it fulfilling to master one area of interest.
Consistency of Interest,gpt,No-RAG,I tend to give up on long-term projects too soon.
Consistency of Interest,gpt,No-RAG,I feel satisfied sticking to my chosen pursuits.
Consistency of Interest,gpt,No-RAG,I get bored if I focus on the same thing too long.
Consistency of Interest,gpt,No-RAG,I set a goal and work toward it consistently.
Consistency of Interest,gpt,No-RAG,I often feel the urge to explore something different.
Consistency of Interest,gpt,No-RAG,I find it challenging to stay dedicated to one task.
Consistency of Interest,gpt,No-RAG,I take pride in seeing my ideas through to completion.
Consistency of Interest,gpt,No-RAG,I often need to resist the temptation of new endeavors.
Consistency of Interest,gpt,No-RAG,I prefer to explore different interests rather than sticking to one.
Consistency of Interest,gpt,No-RAG,I find it easy to dedicate myself to a single project.
Consistency of Interest,gpt,No-RAG,I am often tempted by new and shiny opportunities.
Consistency of Interest,gpt,No-RAG,I gain a sense of accomplishment from persistent effort on one goal.
Consistency of Interest,gpt,No-RAG,I have difficulty resisting the allure of new projects.
Consistency of Interest,gpt,No-RAG,I believe in the value of deep engagement with one passion.
Consistency of Interest,gpt,No-RAG,I frequently stray from my original plans.
Consistency of Interest,gpt,No-RAG,I enjoy the journey of fully developing one skill.
Consistency of Interest,gpt,No-RAG,I feel restless if I am not exploring varied interests.
Consistency of Interest,gpt,No-RAG,I prioritize seeing my ambitions fulfilled over new urges.
Consistency of Interest,gpt,No-RAG,I am often uncertain about my main focus.
Consistency of Interest,gpt,No-RAG,I appreciate the importance of sticking with one area of interest.
Consistency of Interest,gpt,No-RAG,I often feel overwhelmed by too many options.
Consistency of Interest,gpt,No-RAG,I am motivated to finish what I start.
Consistency of Interest,gpt,No-RAG,I find it enriching to explore diverse projects simultaneously.
Consistency of Interest,gpt,No-RAG,I prefer not to shift gears once I’ve committed to something.
Consistency of Interest,gpt,No-RAG,"My interests often conflict, making it hard to choose one."
Consistency of Interest,gpt,No-RAG,I derive joy from completing projects one by one.
Consistency of Interest,gpt,No-RAG,I easily get sidetracked by new passions.
Consistency of Interest,gpt,No-RAG,I value the patience required for long-term commitment.
Perseverance of Effort,gpt,No-RAG,I keep going even when things get tough.
Perseverance of Effort,gpt,No-RAG,I often give up when I encounter obstacles.
Perseverance of Effort,gpt,No-RAG,I push through challenges until I achieve my goals.
Perseverance of Effort,gpt,No-RAG,I lose interest in a task if it becomes too difficult.
Perseverance of Effort,gpt,No-RAG,"I finish what I start, no matter how hard it gets."
Perseverance of Effort,gpt,No-RAG,I find it easy to quit when faced with setbacks.
Perseverance of Effort,gpt,No-RAG,"I stay committed to my tasks, even when frustrated."
Perseverance of Effort,gpt,No-RAG,I abandon difficult projects before completing them.
Perseverance of Effort,gpt,No-RAG,I seek solutions rather than getting discouraged.
Perseverance of Effort,gpt,No-RAG,I struggle to maintain effort when faced with failures.
Perseverance of Effort,gpt,No-RAG,I remain focused on my objectives despite distractions.
Perseverance of Effort,gpt,No-RAG,I often stop working on projects that are too challenging.
Perseverance of Effort,gpt,No-RAG,I believe persistence is key to success.
Perseverance of Effort,gpt,No-RAG,I frequently become overwhelmed and give up.
Perseverance of Effort,gpt,No-RAG,I feel rewarded when I overcome difficulties.
Perseverance of Effort,gpt,No-RAG,I avoid tasks that seem too hard.
Perseverance of Effort,gpt,No-RAG,I thrive when faced with challenging situations.
Perseverance of Effort,gpt,No-RAG,I often lose motivation during tough times.
Perseverance of Effort,gpt,No-RAG,I rally my efforts when facing failure.
Perseverance of Effort,gpt,No-RAG,I find myself justifying why I should quit.
Perseverance of Effort,gpt,No-RAG,I believe in my ability to see things through to the end.
Perseverance of Effort,gpt,No-RAG,I often leave tasks unfinished due to obstacles.
Perseverance of Effort,gpt,No-RAG,I transform setbacks into opportunities for growth.
Perseverance of Effort,gpt,No-RAG,I get easily discouraged when outcomes are poor.
Perseverance of Effort,gpt,No-RAG,"I stay determined to finish tasks, no matter the struggle."
Perseverance of Effort,gpt,No-RAG,I cower at the first sign of difficulty.
Perseverance of Effort,gpt,No-RAG,"I keep my eye on the prize, even when it's hard."
Perseverance of Effort,gpt,No-RAG,I find myself avoiding challenges that look difficult.
Perseverance of Effort,gpt,No-RAG,I push myself beyond my limits to get the job done.
Perseverance of Effort,gpt,No-RAG,I think of quitting when faced with setbacks.
Perseverance of Effort,gpt,No-RAG,I embrace the struggle as part of the journey.
Perseverance of Effort,gpt,No-RAG,I frequently change my mind about completing a task.
Perseverance of Effort,gpt,No-RAG,I take pride in overcoming hurdles to finish.
Perseverance of Effort,gpt,No-RAG,I easily lose sight of my goals during tough times.
Perseverance of Effort,gpt,No-RAG,I analyze mistakes and keep moving forward.
Perseverance of Effort,gpt,No-RAG,I quickly lose hope when facing obstacles.
Perseverance of Effort,gpt,No-RAG,I make a plan to tackle challenges head-on.
Perseverance of Effort,gpt,No-RAG,I often feel defeated when projects become tough.
Perseverance of Effort,gpt,No-RAG,I consistently strive to fulfill my commitments.
Perseverance of Effort,gpt,No-RAG,I shy away from hard work if it's too frustrating.
