,Scale,Item_Text,Condition,disc_score,cosine_sim
1,Perseverance of Effort,I persevere through tough situations until I succeed.,gpt × RAG,0.2502,0.5544
2,Perseverance of Effort,"I finish tasks, even difficult ones, well.",deepseek × No-RAG,0.2351,0.4433
3,Perseverance of Effort,I can power through difficult tasks.,deepseek × No-RAG,0.2329,0.6349
4,Perseverance of Effort,I have the determination to push through setbacks.,deepseek × No-RAG,0.2276,0.6417
5,Perseverance of Effort,I find it challenging to keep going when I experience setbacks.,gpt × RAG,0.2213,0.5465
6,Perseverance of Effort,"I finish what I start, no matter the difficulties.",gpt × RAG,0.2167,0.6231
7,Perseverance of Effort,Setbacks and failures make me question my ability to succeed.,llama × No-RAG,0.2138,0.4818
8,Perseverance of Effort,"I can keep going, even when things are tough.",deepseek × No-RAG,0.208,0.4014
9,Perseverance of Effort,I find it hard to complete a started job.,deepseek × No-RAG,0.2068,0.4845
10,Perseverance of Effort,I keep pushing through even when I face challenges.,gpt × RAG,0.2032,0.5579
11,Perseverance of Effort,I can keep going even after several failures.,deepseek × No-RAG,0.1889,0.5973
12,Perseverance of Effort,"I always push myself to finish what I start, even when it gets tough.",llama × No-RAG,0.1875,0.5114
13,Perseverance of Effort,Difficulty and adversity make me more determined to prove myself and succeed.,llama × No-RAG,0.1872,0.5615
14,Perseverance of Effort,I am not afraid to take on difficult tasks and see them through to the end.,llama × No-RAG,0.1819,0.4602
15,Perseverance of Effort,"I work diligently, no matter how hard the situation gets.",gpt × RAG,0.1756,0.521
16,Perseverance of Effort,I find it hard to continue when things don't go as planned.,gpt × RAG,0.1731,0.4852
17,Perseverance of Effort,I find pride in completing difficult tasks.,gpt × RAG,0.1661,0.4893
18,Perseverance of Effort,I do not feel strong enough to complete difficult tasks.,deepseek × No-RAG,0.1624,0.4889
19,Perseverance of Effort,"I can persevere, even in challenging projects.",deepseek × No-RAG,0.1573,0.3781
20,Perseverance of Effort,I sometimes lack the stamina to push through and finish what I started.,llama × No-RAG,0.1559,0.4489
21,Perseverance of Effort,"When I fail, I use it as an opportunity to learn and try again.",llama × No-RAG,0.1544,0.2649
22,Perseverance of Effort,I find it easy to get started but hard to finish.,deepseek × No-RAG,0.1536,0.42
23,Perseverance of Effort,"When a task requires effort, I see it through.",deepseek × No-RAG,0.1508,0.5223
