Scale,Model,Condition,Item_Text
Consistency of Interest,gemini,RAG,I usually finish what I start.
Consistency of Interest,gemini,RAG,I tend to jump from one hobby to another.
Consistency of Interest,gemini,RAG,"Once I decide on a goal, I see it through."
Consistency of Interest,gemini,RAG,I often get bored with projects before they're done.
Consistency of Interest,gemini,RAG,I prefer to focus my energy on one major endeavor at a time.
Consistency of Interest,gemini,RAG,New ideas easily pull me away from my current commitments.
Consistency of Interest,gemini,RAG,I am diligent in pursuing my ambitions.
Consistency of Interest,gemini,RAG,It’s hard for me to resist exploring new possibilities.
Consistency of Interest,gemini,RAG,I rarely abandon tasks I've committed to.
Consistency of Interest,gemini,RAG,I find myself easily drawn to novel pursuits.
Consistency of Interest,gemini,RAG,My focus remains on my chosen objectives.
Consistency of Interest,gemini,RAG,I frequently change my mind about what I want to achieve.
Consistency of Interest,gemini,RAG,I am determined to see my long-term goals realized.
Consistency of Interest,gemini,RAG,I get easily distracted by emerging interests.
Consistency of Interest,gemini,RAG,I maintain a steady course toward my aspirations.
Consistency of Interest,gemini,RAG,I often start new projects without finishing old ones.
Consistency of Interest,gemini,RAG,My dedication to a single aim is strong.
Consistency of Interest,gemini,RAG,I have a habit of starting things and not finishing them.
Consistency of Interest,gemini,RAG,I stick with my plans until they are completed.
Consistency of Interest,gemini,RAG,I find it challenging to maintain long-term focus.
Consistency of Interest,gemini,RAG,I am committed to the projects I undertake.
Consistency of Interest,gemini,RAG,I am prone to pursuing fleeting enthusiasms.
Consistency of Interest,gemini,RAG,My persistence on a singular path is unwavering.
Consistency of Interest,gemini,RAG,I often get bored with my endeavors.
Consistency of Interest,gemini,RAG,I concentrate on a few important goals.
Consistency of Interest,gemini,RAG,I have a tendency to switch my interests frequently.
Consistency of Interest,gemini,RAG,I am dedicated to achieving my primary objectives.
Consistency of Interest,gemini,RAG,I find it difficult to stay with one thing for long.
Consistency of Interest,gemini,RAG,My efforts are consistently directed towards my main ambitions.
Consistency of Interest,gemini,RAG,I lose interest in my projects when they become challenging.
Consistency of Interest,gemini,RAG,I can dedicate myself to a single pursuit for extended periods.
Consistency of Interest,gemini,RAG,I am easily tempted by new ventures.
Consistency of Interest,gemini,RAG,My focus is steady on my most important aspirations.
Consistency of Interest,gemini,RAG,I often feel compelled to seek out new experiences.
Consistency of Interest,gemini,RAG,I see my chosen ambitions through to completion.
Consistency of Interest,gemini,RAG,I have a short attention span for long-term goals.
Consistency of Interest,gemini,RAG,I am resolute in my pursuit of established aims.
Consistency of Interest,gemini,RAG,I frequently get sidetracked by other opportunities.
Consistency of Interest,gemini,RAG,I am unwavering in my commitment to my core objectives.
Consistency of Interest,gemini,RAG,My concentration wavers when faced with repetitive tasks.
Perseverance of Effort,gemini,RAG,I keep working on a project even when it gets tough.
Perseverance of Effort,gemini,RAG,I tend to abandon tasks that become too demanding.
Perseverance of Effort,gemini,RAG,I see a difficult task through to completion.
Perseverance of Effort,gemini,RAG,"When faced with a roadblock, I give up on my goals."
Perseverance of Effort,gemini,RAG,I am committed to finishing what I start.
Perseverance of Effort,gemini,RAG,I readily shift focus when a task presents too many problems.
Perseverance of Effort,gemini,RAG,I persist in my efforts until a task is completed.
Perseverance of Effort,gemini,RAG,I find it easy to let go of unfinished projects.
Perseverance of Effort,gemini,RAG,"I am determined to achieve my objectives, even with delays."
Perseverance of Effort,gemini,RAG,I easily become discouraged when my work hits a snag.
Perseverance of Effort,gemini,RAG,I find the motivation to continue working through adversity.
Perseverance of Effort,gemini,RAG,I often leave tasks incomplete if they prove too challenging.
Perseverance of Effort,gemini,RAG,I am resilient in the face of obstacles.
Perseverance of Effort,gemini,RAG,I tend to stop working when faced with significant difficulty.
Perseverance of Effort,gemini,RAG,I push through challenges to get things done.
Perseverance of Effort,gemini,RAG,I rarely feel the need to finish something I've started if it's hard.
Perseverance of Effort,gemini,RAG,I don't let setbacks prevent me from achieving my goals.
Perseverance of Effort,gemini,RAG,I have a habit of dropping tasks when they become frustrating.
Perseverance of Effort,gemini,RAG,I am dedicated to seeing my endeavors through to the end.
Perseverance of Effort,gemini,RAG,I quickly lose interest when a task requires sustained effort.
Perseverance of Effort,gemini,RAG,I maintain focus and effort on long-term projects.
Perseverance of Effort,gemini,RAG,"I easily get sidetracked by new, less demanding activities."
Perseverance of Effort,gemini,RAG,I am known for my ability to overcome difficulties.
Perseverance of Effort,gemini,RAG,I tend to give up on things that are not immediately rewarding.
Perseverance of Effort,gemini,RAG,I am persistent in pursuing my ambitions.
Perseverance of Effort,gemini,RAG,I find it difficult to stay committed when things get complicated.
Perseverance of Effort,gemini,RAG,"I finish what I start, regardless of the effort required."
Perseverance of Effort,gemini,RAG,I easily get discouraged by failures.
Perseverance of Effort,gemini,RAG,I am driven to complete demanding projects.
Perseverance of Effort,gemini,RAG,I tend to procrastinate on difficult tasks.
Perseverance of Effort,gemini,RAG,I continue to work towards my objectives despite setbacks.
Perseverance of Effort,gemini,RAG,I rarely feel the need to see a difficult task through.
Perseverance of Effort,gemini,RAG,I am unwavering in my pursuit of goals.
Perseverance of Effort,gemini,RAG,I am quick to abandon goals that require significant effort.
Perseverance of Effort,gemini,RAG,I am tenacious in my work ethic.
Perseverance of Effort,gemini,RAG,I let minor difficulties derail my progress.
Perseverance of Effort,gemini,RAG,I am committed to finishing what I begin.
Perseverance of Effort,gemini,RAG,I find it easy to move on from unfinished work.
Perseverance of Effort,gemini,RAG,I am steadfast in my efforts to achieve success.
Perseverance of Effort,gemini,RAG,I often give up when my work becomes overwhelming.
