framework,label,definition
maladaptive,Excitable,"Moody and hard to please, with intense but short-lived enthusiasms for people and projects. High scorers are sensitive to criticism, volatile, and unable to generate respect from subordinates due to frequent emotional displays."
maladaptive,Skeptical,"Cynical, distrustful, and quick to doubt others’ true intentions. While acutely sensitive to organizational politics, high scorers are easily of fended, argumentative, and ready to retaliate for perceived mistreatment."
maladaptive,Cautious,"Reluctant to take risks or initiative due to fear of failure or criticism. High scorers are good “corporate citizens” but avoid innovation, offering opinions, taking controversial positions, or making decisions."
maladaptive,Reserved,"Aloof, detached, uncommunicative, and disinterested in the feelings of others. High scorers work poorly in groups, are reluctant to give feedback, are insensitive to social cues, and often appear intimidating."
maladaptive,Leisurely,"Independent, resistant to feedback, and quietly resentful of interruption or others’ requests. High scorers can be pleasant but difficult to work with due to procrastination, stubbornness, and unwillingness to be part of a team."
maladaptive,Bold,"Unusually self-confident, reluctant to admit shortcomings, and grandiose in expectations. High scorers feel entitled to special treatment, are reluctant to share credit, and can be demanding, opinionated, and self-absorbed."
maladaptive,Mischievous,"Charming and friendly, but impulsive, non-conforming, manipulative, and exploitive. High scorers test limits, ignore commitments, take ill-advised risks, and resist accepting responsibility for mistakes."
maladaptive,Colorful,"Expressive, dramatic, distractible, attention seeking, and disorganized. High scorers confuse activity with productivity, are unable to allow others to offer suggestions, and are intuitive rather than strategic in decision making."
maladaptive,Imaginative,"Creative, eccentric, impractical, and idiosyncratic in thoughts and ideas. High scorers avoid details, are easily bored, lack awareness of their impact on others, and often fail to see the practical limitations of their suggestions."
maladaptive,Diligent,"Meticulous, perfectionistic, critical, and inflexible about rules and procedures. High scorers micromanage their staff, find it hard to delegate, and have difficulty setting meaningful priorities for themselves and their subordinates."
maladaptive,Dutiful,"Eager to please, reliant on others for guidance, and reluctant to take action independently. High scorers have difficulty making decisions on their own, may not stick up for subordinates, and promise more than they can deliver."
typical,Extraversion," Warmth, Gregariousness, Assertiveness, Activity, Excitement Seeking, Positive Emotions."
typical,Agreeableness,"Trust, Straightforwardness, Altruism, Compliance, Modesty, Tender-Mindedness."
typical,Conscientiousness,"Competence, Order, Dutifulness, Achievement Striving, Self-Discipline, Deliberation."
typical,Neuroticism,"Anxiety, Angry Hostility, Depression, Self Consciousness, Impulsivenes, Vulnerability."
typical,Openness,"Fantasy, Aesthetics, Feelings, Actions, Ideas, Values."
remote,Adaptability,"ability, skill, disposition, willingness, and/or motivation to change or fit different task, social, or environmental features"
remote,Exploratoriness,"refers to individual differences in the tendency to seek out new experiences and to be willing to explore ideas, values, emotions, and sensations that differ from their previous experience or established preferences"
