Scale,Model,Condition,Item_Text
Consistency of Interest,gpt,Re-Ranked RAG,I often find myself easily sidetracked by new ideas.
Consistency of Interest,gpt,Re-Ranked RAG,I pursue long-term goals with determination.
Consistency of Interest,gpt,Re-Ranked RAG,I frequently jump between projects without completing them.
Consistency of Interest,gpt,Re-Ranked RAG,I prioritize following through with my original ambitions.
Consistency of Interest,gpt,Re-Ranked RAG,My focus shifts quickly when faced with new challenges.
Consistency of Interest,gpt,Re-Ranked RAG,I am committed to seeing my goals through to the end.
Consistency of Interest,gpt,Re-Ranked RAG,I tend to lose interest in projects after a while.
Consistency of Interest,gpt,Re-Ranked RAG,I keep my attention fixed on what matters most to me.
Consistency of Interest,gpt,Re-Ranked RAG,I am easily distracted by enticing new interests.
Consistency of Interest,gpt,Re-Ranked RAG,"Once I choose a goal, I dedicate myself to it completely."
Consistency of Interest,gpt,Re-Ranked RAG,I struggle to maintain interest in a single objective.
Consistency of Interest,gpt,Re-Ranked RAG,I enjoy diving deep into my chosen passions.
Consistency of Interest,gpt,Re-Ranked RAG,New opportunities often pull me away from my plans.
Consistency of Interest,gpt,Re-Ranked RAG,I believe in giving my best effort to one pursuit.
Consistency of Interest,gpt,Re-Ranked RAG,I rarely feel the need to abandon a long-term project.
Consistency of Interest,gpt,Re-Ranked RAG,I find it difficult to resist intriguing new ventures.
Consistency of Interest,gpt,Re-Ranked RAG,I am persistent in working toward my main objective.
Consistency of Interest,gpt,Re-Ranked RAG,I frequently explore different projects without focus.
Consistency of Interest,gpt,Re-Ranked RAG,I thrive when committed to one clear ambition.
Consistency of Interest,gpt,Re-Ranked RAG,I have a hard time sticking to a single interest over time.
Consistency of Interest,gpt,Re-Ranked RAG,I tend to return to my original project after distractions.
Consistency of Interest,gpt,Re-Ranked RAG,I easily lose sight of my goals in favor of novel ideas.
Consistency of Interest,gpt,Re-Ranked RAG,I am disciplined about finishing what I start.
Consistency of Interest,gpt,Re-Ranked RAG,I often feel the pull to explore fresh interests.
Consistency of Interest,gpt,Re-Ranked RAG,I excel in maintaining focus on my singular pursuits.
Consistency of Interest,gpt,Re-Ranked RAG,I am quick to abandon my initial plans for newer ones.
Consistency of Interest,gpt,Re-Ranked RAG,I take pride in my ability to stay committed to my goals.
Consistency of Interest,gpt,Re-Ranked RAG,I often change directions based on the latest trend.
Consistency of Interest,gpt,Re-Ranked RAG,I find it rewarding to develop my interests deeply.
Consistency of Interest,gpt,Re-Ranked RAG,I struggle to follow through on my long-term commitments.
Consistency of Interest,gpt,Re-Ranked RAG,I resist the temptation to divert my attention elsewhere.
Consistency of Interest,gpt,Re-Ranked RAG,I find it challenging to remain dedicated to one ambition.
Consistency of Interest,gpt,Re-Ranked RAG,I am focused and unwavering when it comes to my goals.
Consistency of Interest,gpt,Re-Ranked RAG,I frequently shift my focus to fleeting interests.
Consistency of Interest,gpt,Re-Ranked RAG,I believe in dedicating time and energy to one ambition.
Consistency of Interest,gpt,Re-Ranked RAG,I are excitable about new projects and neglect my current ones.
Consistency of Interest,gpt,Re-Ranked RAG,I enjoy the depth that comes with sustained effort on one goal.
Consistency of Interest,gpt,Re-Ranked RAG,I am often tempted to chase after new distractions.
Consistency of Interest,gpt,Re-Ranked RAG,"Once I’ve chosen a path, I stick to it consistently."
Consistency of Interest,gpt,Re-Ranked RAG,I can easily lose interest in my previous pursuits.
Perseverance of Effort,gpt,Re-Ranked RAG,I continue working even when I face challenges.
Perseverance of Effort,gpt,Re-Ranked RAG,I easily give up when things become difficult.
Perseverance of Effort,gpt,Re-Ranked RAG,I push through difficulties to reach my goals.
Perseverance of Effort,gpt,Re-Ranked RAG,Setbacks often make me abandon my projects.
Perseverance of Effort,gpt,Re-Ranked RAG,I remain focused on my tasks despite obstacles.
Perseverance of Effort,gpt,Re-Ranked RAG,I often lose motivation when faced with setbacks.
Perseverance of Effort,gpt,Re-Ranked RAG,I find ways to keep going when the situation is tough.
Perseverance of Effort,gpt,Re-Ranked RAG,I struggle to maintain effort when I encounter problems.
Perseverance of Effort,gpt,Re-Ranked RAG,I keep trying until I achieve what I set out to do.
Perseverance of Effort,gpt,Re-Ranked RAG,I tend to quit when my efforts do not yield quick results.
Perseverance of Effort,gpt,Re-Ranked RAG,"I believe in completing what I've started, no matter the hurdles."
Perseverance of Effort,gpt,Re-Ranked RAG,I frequently allow challenges to deter my progress.
Perseverance of Effort,gpt,Re-Ranked RAG,I am determined to see my projects through to the end.
Perseverance of Effort,gpt,Re-Ranked RAG,I often feel discouraged and stop trying during tough times.
Perseverance of Effort,gpt,Re-Ranked RAG,I am resilient in the face of adversity.
Perseverance of Effort,gpt,Re-Ranked RAG,I find it hard to stay committed when faced with obstacles.
Perseverance of Effort,gpt,Re-Ranked RAG,I am persistent and don’t easily lose sight of my goals.
Perseverance of Effort,gpt,Re-Ranked RAG,Difficulties frequently disrupt my efforts.
Perseverance of Effort,gpt,Re-Ranked RAG,I maintain my effort until the task is fully completed.
Perseverance of Effort,gpt,Re-Ranked RAG,I often feel overwhelmed and stop pursuing my goals.
Perseverance of Effort,gpt,Re-Ranked RAG,I thrive on challenges and pursue them relentlessly.
Perseverance of Effort,gpt,Re-Ranked RAG,I often feel like giving up when the going gets tough.
Perseverance of Effort,gpt,Re-Ranked RAG,I work diligently even when success seems unlikely.
Perseverance of Effort,gpt,Re-Ranked RAG,I lose faith in myself when I encounter setbacks.
Perseverance of Effort,gpt,Re-Ranked RAG,I remain committed to my tasks regardless of issues.
Perseverance of Effort,gpt,Re-Ranked RAG,I let frustration derail my projects too often.
Perseverance of Effort,gpt,Re-Ranked RAG,I navigate setbacks without losing sight of my objectives.
Perseverance of Effort,gpt,Re-Ranked RAG,I allow negative experiences to influence my productivity.
Perseverance of Effort,gpt,Re-Ranked RAG,I strive to finish despite facing significant hurdles.
Perseverance of Effort,gpt,Re-Ranked RAG,I find myself abandoning tasks when they become challenging.
Perseverance of Effort,gpt,Re-Ranked RAG,I keep my focus and energy even when problems arise.
Perseverance of Effort,gpt,Re-Ranked RAG,I surrender my efforts when I feel things are too difficult.
Perseverance of Effort,gpt,Re-Ranked RAG,I hold onto my goals even when progress stalls.
Perseverance of Effort,gpt,Re-Ranked RAG,I can quickly become disheartened by challenges.
Perseverance of Effort,gpt,Re-Ranked RAG,I approach difficult tasks with determination.
Perseverance of Effort,gpt,Re-Ranked RAG,I am easily discouraged by obstacles in my path.
Perseverance of Effort,gpt,Re-Ranked RAG,I take setbacks as motivation to work harder.
Perseverance of Effort,gpt,Re-Ranked RAG,Difficulty often leads me to reconsider my efforts.
Perseverance of Effort,gpt,Re-Ranked RAG,"I remain enthusiastic about my work, despite challenges."
Perseverance of Effort,gpt,Re-Ranked RAG,I feel tempted to quit when I encounter frustrating issues.
