Scale,Model,Condition,Item_Text
Consistency of Interest,gemini,No-RAG,I generally stick with one major goal at a time.
Consistency of Interest,gemini,No-RAG,"When I start a new project, I often lose interest quickly."
Consistency of Interest,gemini,No-RAG,I can easily set aside old passions for newer ones.
Consistency of Interest,gemini,No-RAG,My long-term commitments rarely waver.
Consistency of Interest,gemini,No-RAG,I find it difficult to stay focused on a single pursuit.
Consistency of Interest,gemini,No-RAG,I am content to work on one ambition for an extended period.
Consistency of Interest,gemini,No-RAG,New ideas frequently pull my attention away from my current work.
Consistency of Interest,gemini,No-RAG,I am persistent in pursuing my chosen goals.
Consistency of Interest,gemini,No-RAG,I enjoy the thrill of starting something new more than finishing it.
Consistency of Interest,gemini,No-RAG,"Once I commit to a path, I typically see it through."
Consistency of Interest,gemini,No-RAG,I tend to jump between different hobbies and interests.
Consistency of Interest,gemini,No-RAG,My dedication to a significant objective is usually unwavering.
Consistency of Interest,gemini,No-RAG,I am easily distracted by novel opportunities.
Consistency of Interest,gemini,No-RAG,I prefer deep involvement in one area over breadth of experience.
Consistency of Interest,gemini,No-RAG,I often feel the urge to abandon what I'm doing for something else.
Consistency of Interest,gemini,No-RAG,I can resist the temptation to chase after every new trend.
Consistency of Interest,gemini,No-RAG,My focus on a single ambition is strong.
Consistency of Interest,gemini,No-RAG,I frequently start and stop many different endeavors.
Consistency of Interest,gemini,No-RAG,I find satisfaction in prolonged dedication to a task.
Consistency of Interest,gemini,No-RAG,I am prone to shifting my focus to emergent interests.
Consistency of Interest,gemini,No-RAG,I am capable of maintaining concentration on one primary objective.
Consistency of Interest,gemini,No-RAG,I have a habit of moving on to new obsessions before completing old ones.
Consistency of Interest,gemini,No-RAG,I am steadfast in my pursuit of a singular aspiration.
Consistency of Interest,gemini,No-RAG,The allure of novel pursuits often distracts me.
Consistency of Interest,gemini,No-RAG,I am patient enough to see a long-term goal to fruition.
Consistency of Interest,gemini,No-RAG,I often find myself abandoning projects mid-way.
Consistency of Interest,gemini,No-RAG,My commitment to a single ambition is generally stable.
Consistency of Interest,gemini,No-RAG,I am easily swayed by the appeal of new challenges.
Consistency of Interest,gemini,No-RAG,I am resolute in my dedication to a chosen aspiration.
Consistency of Interest,gemini,No-RAG,I find it challenging to resist exploring new interests.
Consistency of Interest,gemini,No-RAG,I possess the ability to maintain focus on a singular objective.
Consistency of Interest,gemini,No-RAG,I am prone to developing and abandoning passions in quick succession.
Consistency of Interest,gemini,No-RAG,My engagement with a specific ambition is usually consistent.
Consistency of Interest,gemini,No-RAG,I frequently find myself contemplating different ambitions simultaneously.
Consistency of Interest,gemini,No-RAG,I am deliberate in my choice of focus and stick with it.
Consistency of Interest,gemini,No-RAG,I often feel compelled to explore alternative paths.
Consistency of Interest,gemini,No-RAG,I can resist the impulse to deviate from my current course.
Consistency of Interest,gemini,No-RAG,I am committed to seeing my primary ambition through to completion.
Consistency of Interest,gemini,No-RAG,New ideas consistently divert my attention from my current endeavors.
Consistency of Interest,gemini,No-RAG,I am comfortable investing considerable time in one primary goal.
Perseverance of Effort,gemini,No-RAG,I keep working on tasks even when they become difficult.
Perseverance of Effort,gemini,No-RAG,"When faced with challenges, I tend to give up easily."
Perseverance of Effort,gemini,No-RAG,I am persistent in pursuing my goals.
Perseverance of Effort,gemini,No-RAG,I easily lose motivation when I encounter obstacles.
Perseverance of Effort,gemini,No-RAG,"I see projects through to completion, regardless of setbacks."
Perseverance of Effort,gemini,No-RAG,Minor difficulties often discourage me from finishing what I start.
Perseverance of Effort,gemini,No-RAG,I can maintain focus and effort on long-term projects.
Perseverance of Effort,gemini,No-RAG,I struggle to stick with tasks that require sustained effort.
Perseverance of Effort,gemini,No-RAG,I am determined to overcome obstacles in my path.
Perseverance of Effort,gemini,No-RAG,I find it hard to continue working when things get tough.
Perseverance of Effort,gemini,No-RAG,I don't let temporary failures derail my progress.
Perseverance of Effort,gemini,No-RAG,I am quick to abandon a task if it proves too demanding.
Perseverance of Effort,gemini,No-RAG,"I am committed to achieving my objectives, even if it takes time."
Perseverance of Effort,gemini,No-RAG,I get discouraged and stop working when I hit a wall.
Perseverance of Effort,gemini,No-RAG,I can power through periods of intense effort.
Perseverance of Effort,gemini,No-RAG,I tend to procrastinate on challenging assignments.
Perseverance of Effort,gemini,No-RAG,I am resolute in my efforts to succeed.
Perseverance of Effort,gemini,No-RAG,I find it easier to start new things than to finish existing ones.
Perseverance of Effort,gemini,No-RAG,I am willing to put in extra work to complete a task.
Perseverance of Effort,gemini,No-RAG,"When faced with a problem, I often seek the easiest way out instead of persisting."
Perseverance of Effort,gemini,No-RAG,I am known for my resilience in the face of adversity.
Perseverance of Effort,gemini,No-RAG,I often feel like giving up when things don't go as planned.
Perseverance of Effort,gemini,No-RAG,I am driven to finish what I start.
Perseverance of Effort,gemini,No-RAG,I lose interest in a project once it becomes complicated.
Perseverance of Effort,gemini,No-RAG,I am able to sustain my energy and focus on demanding tasks.
Perseverance of Effort,gemini,No-RAG,I am not easily deterred by setbacks.
Perseverance of Effort,gemini,No-RAG,I find it difficult to summon the energy to keep going when I'm tired.
Perseverance of Effort,gemini,No-RAG,I am steadfast in my commitment to my responsibilities.
Perseverance of Effort,gemini,No-RAG,I often leave tasks unfinished if they become too time-consuming.
Perseverance of Effort,gemini,No-RAG,I am dedicated to seeing things through to the end.
Perseverance of Effort,gemini,No-RAG,I struggle to maintain effort when the rewards are not immediate.
Perseverance of Effort,gemini,No-RAG,I am tenacious in my pursuit of goals.
Perseverance of Effort,gemini,No-RAG,I tend to abandon tasks that require significant long-term commitment.
Perseverance of Effort,gemini,No-RAG,I am able to endure hardship in pursuit of my aims.
Perseverance of Effort,gemini,No-RAG,I find it frustrating to continue working on something that isn't progressing quickly.
Perseverance of Effort,gemini,No-RAG,"I am reliable in my efforts, even when they are strenuous."
Perseverance of Effort,gemini,No-RAG,I am prone to giving up when faced with repeated failures.
Perseverance of Effort,gemini,No-RAG,I have a strong will to complete what I have begun.
Perseverance of Effort,gemini,No-RAG,I find it hard to push myself when I encounter unexpected problems.
Perseverance of Effort,gemini,No-RAG,I can keep working diligently even when exhausted.
