Scale,Model,Condition,Item_Text
Consistency of Interest,deepseek,No-RAG,I stick with my goals despite distractions.
Consistency of Interest,deepseek,No-RAG,My long-term ambitions are always clear to me.
Consistency of Interest,deepseek,No-RAG,I am dedicated to seeing my main projects through.
Consistency of Interest,deepseek,No-RAG,It is rare for me to suddenly become uninterested in something I was passionate about.
Consistency of Interest,deepseek,No-RAG,My focus remains unwavering on my primary objectives.
Consistency of Interest,deepseek,No-RAG,"When I have a goal, I see it through to the end."
Consistency of Interest,deepseek,No-RAG,I have difficulty getting bored with tasks I know well.
Consistency of Interest,deepseek,No-RAG,"My interests are deep, not fleeting."
Consistency of Interest,deepseek,No-RAG,"Once I commit to a project, I rarely change my mind about it."
Consistency of Interest,deepseek,No-RAG,I am patient in achieving my principal ambitions.
Consistency of Interest,deepseek,No-RAG,I tend to follow through on my main ideas without deviation.
Consistency of Interest,deepseek,No-RAG,My core interests rarely lose my attention.
Consistency of Interest,deepseek,No-RAG,I am single-minded in my professional aspirations.
Consistency of Interest,deepseek,No-RAG,My main ambition stays the consistent focus of my energy.
Consistency of Interest,deepseek,No-RAG,I avoid letting new ideas derail my primary goals.
Consistency of Interest,deepseek,No-RAG,I maintain a steady concentration on my fundamental ambitions.
Consistency of Interest,deepseek,No-RAG,I resist the temptation to abandon old projects for new ones.
Consistency of Interest,deepseek,No-RAG,I find it challenging to divert my focus from my key objectives.
Consistency of Interest,deepseek,No-RAG,My primary interest usually absorbs my thoughts first.
Consistency of Interest,deepseek,No-RAG,I am persistent with the causes I choose to pursue.
Consistency of Interest,deepseek,No-RAG,My ambitions are typically long-term and stable.
Consistency of Interest,deepseek,No-RAG,I am reluctant to shift my main efforts from a successful path.
Consistency of Interest,deepseek,No-RAG,My energy is usually directed towards my central interests.
Consistency of Interest,deepseek,No-RAG,I do not often entertain shifting my fundamental ambitions.
Consistency of Interest,deepseek,No-RAG,I am steadfast in the direction of my primary drive.
Consistency of Interest,deepseek,No-RAG,"When I am focused on a main aim, I rarely let my attention wander."
Consistency of Interest,deepseek,No-RAG,My principal goals keep my motivation consistent over time.
Consistency of Interest,deepseek,No-RAG,I prefer to delve deeply rather than pursue many things lightly.
Consistency of Interest,deepseek,No-RAG,My commitment to my most important ideas remains strong.
Consistency of Interest,deepseek,No-RAG,I have a consistent drive toward a specific type of achievement.
Consistency of Interest,deepseek,No-RAG,"I am dedicated to the cause I have chosen, especially its main aspects."
Consistency of Interest,deepseek,No-RAG,I resist the urge to frequently switch my primary focus.
Consistency of Interest,deepseek,No-RAG,I am not easily sidetracked from my main objective.
Consistency of Interest,deepseek,No-RAG,My fundamental motivations guide my actions consistently.
Consistency of Interest,deepseek,No-RAG,I tend not to change my main interest for a different one.
Consistency of Interest,deepseek,No-RAG,"I remain loyal to my chosen path, even if it takes time."
Consistency of Interest,deepseek,No-RAG,I find myself consistently returning to the same types of interests.
