Scale,Model,Condition,Item_Text
Consistency of Interest,llama,RAG,I can focus on a goal without getting bored.
Consistency of Interest,llama,RAG,My interests often change suddenly.
Consistency of Interest,llama,RAG,I prioritize completing a task over exploring new ideas.
Consistency of Interest,llama,RAG,New projects rarely distract me from my current goals.
Consistency of Interest,llama,RAG,I have a hard time sticking to one hobby.
Consistency of Interest,llama,RAG,It's easy for me to set aside enticing opportunities that aren't relevant to my main objective.
Consistency of Interest,llama,RAG,I struggle to commit to long-term plans.
Consistency of Interest,llama,RAG,Finishing what I start is more important to me than trying something new.
Consistency of Interest,llama,RAG,My attention is drawn to whatever is novel and exciting.
Consistency of Interest,llama,RAG,I can concentrate on a single objective for an extended period.
Consistency of Interest,llama,RAG,Shifting between different activities helps me stay engaged.
Consistency of Interest,llama,RAG,I don't let intriguing sidelines divert me from my primary aim.
Consistency of Interest,llama,RAG,My mind often wanders to other pursuits when working on a task.
Consistency of Interest,llama,RAG,"Once I start something, I see it through to completion."
Consistency of Interest,llama,RAG,It's challenging for me to resist the allure of new ventures.
Consistency of Interest,llama,RAG,I make time for activities that align with my long-term goals.
Consistency of Interest,llama,RAG,I find it difficult to settle on a single path and stick to it.
Consistency of Interest,llama,RAG,Staying on track with my plans is a constant struggle.
Consistency of Interest,llama,RAG,The latest trends rarely sway me from my established goals.
Consistency of Interest,llama,RAG,I have a tendency to jump from one interest to another.
Consistency of Interest,llama,RAG,Devoting myself to one endeavor is not a problem for me.
Consistency of Interest,llama,RAG,Constantly switching between projects is not my style.
Consistency of Interest,llama,RAG,New experiences frequently capture my attention and lead me astray.
Consistency of Interest,llama,RAG,Sustaining my enthusiasm for a single undertaking over time is tough.
Consistency of Interest,llama,RAG,My daily activities are centered around my core objectives.
Consistency of Interest,llama,RAG,A multitude of interests competes for my attention.
Consistency of Interest,llama,RAG,"Once engaged in a project, I am not easily swayed by alternatives."
Consistency of Interest,llama,RAG,Pursuing multiple passions simultaneously is not my approach.
Consistency of Interest,llama,RAG,I remain committed to my goals even when faced with enticing alternatives.
Consistency of Interest,llama,RAG,Dedicating myself to a single pursuit comes naturally to me.
Consistency of Interest,llama,RAG,My diverse interests sometimes hinder my ability to focus.
Consistency of Interest,llama,RAG,The prospect of fresh challenges keeps me motivated and on track.
Consistency of Interest,llama,RAG,"When I start something, I am determined to finish it."
Consistency of Interest,llama,RAG,Novelty seeking often interferes with my capacity to maintain focus.
Consistency of Interest,llama,RAG,Staying true to my original intentions is a hallmark of my approach.
Perseverance of Effort,llama,RAG,Push through challenges to achieve goals.
Perseverance of Effort,llama,RAG,Give up when tasks become frustrating.
Perseverance of Effort,llama,RAG,Continue working even when progress is slow.
Perseverance of Effort,llama,RAG,Struggle to complete tasks when faced with obstacles.
Perseverance of Effort,llama,RAG,Believe that hard work will eventually pay off.
Perseverance of Effort,llama,RAG,Quit when things don't go as planned.
Perseverance of Effort,llama,RAG,Stay motivated even in the face of failure.
Perseverance of Effort,llama,RAG,Easily get discouraged by setbacks.
Perseverance of Effort,llama,RAG,Put in extra effort when needed to succeed.
Perseverance of Effort,llama,RAG,Lack the drive to finish difficult projects.
Perseverance of Effort,llama,RAG,Feel a sense of accomplishment when overcoming hurdles.
Perseverance of Effort,llama,RAG,Tend to procrastinate when tasks seem too hard.
Perseverance of Effort,llama,RAG,Persist in the face of adversity to reach objectives.
Perseverance of Effort,llama,RAG,Stop trying when success seems unlikely.
Perseverance of Effort,llama,RAG,Stay committed to long-term goals despite short-term obstacles.
Perseverance of Effort,llama,RAG,Avoid tasks that require sustained effort.
Perseverance of Effort,llama,RAG,Get back to work quickly after a setback.
Perseverance of Effort,llama,RAG,Feel overwhelmed by complex tasks and give up.
Perseverance of Effort,llama,RAG,Keep working towards a goal even when it's no longer enjoyable.
Perseverance of Effort,llama,RAG,Refuse to let obstacles stand in the way of success.
Perseverance of Effort,llama,RAG,Tend to abandon projects when they become too challenging.
Perseverance of Effort,llama,RAG,Stay focused on the end result to push through difficulties.
Perseverance of Effort,llama,RAG,Lose motivation when faced with repeated failures.
Perseverance of Effort,llama,RAG,Work diligently to overcome barriers to success.
Perseverance of Effort,llama,RAG,Abandon tasks that require too much perseverance.
Perseverance of Effort,llama,RAG,Stay engaged in tasks even when they become boring.
Perseverance of Effort,llama,RAG,Strive to complete tasks despite feelings of exhaustion.
Perseverance of Effort,llama,RAG,Avoid pushing myself too hard to avoid burnout.
Perseverance of Effort,llama,RAG,Persevere through difficult times to achieve success.
Perseverance of Effort,llama,RAG,Tend to lose interest in tasks that take too long to complete.
Perseverance of Effort,llama,RAG,Work harder when faced with opposition or criticism.
Perseverance of Effort,llama,RAG,Easily become distracted from long-term goals.
Perseverance of Effort,llama,RAG,Stay on track even when faced with unexpected setbacks.
Perseverance of Effort,llama,RAG,Feel a sense of pride in overcoming difficult challenges.
Perseverance of Effort,llama,RAG,Lack the stamina to complete long and demanding tasks.
Perseverance of Effort,llama,RAG,Continue to strive for excellence even in the face of adversity.
Perseverance of Effort,llama,RAG,Give in to frustration when tasks seem insurmountable.
