Condition,Model,RAG_type,Scale,Item_Text,disc_score,loading_CI,loading_PE,cosine_sim
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I stick with my goals despite distractions.,0.0709,0.565,0.248,0.5348
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My long-term ambitions are always clear to me.,0.125,0.719,-0.002,0.4239
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am dedicated to seeing my main projects through.,0.0219,0.575,0.181,0.4636
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,It is rare for me to suddenly become uninterested in something I was passionate about.,0.1672,0.333,0.252,0.3856
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My focus remains unwavering on my primary objectives.,0.2407,0.866,-0.071,0.588
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I have difficulty getting bored with tasks I know well.,0.0302,0.126,0.614,0.4303
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,"My interests are deep, not fleeting.",0.1461,0.637,-0.003,0.3969
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am patient in achieving my principal ambitions.,0.0522,0.599,0.119,0.4364
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I tend to follow through on my main ideas without deviation.,0.1107,0.642,0.17,0.495
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My core interests rarely lose my attention.,0.2284,0.747,-0.012,0.4929
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am single-minded in my professional aspirations.,0.2676,0.73,-0.056,0.5284
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My main ambition stays the consistent focus of my energy.,0.2046,0.901,-0.107,0.6121
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I avoid letting new ideas derail my primary goals.,0.1885,0.602,0.16,0.5612
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I maintain a steady concentration on my fundamental ambitions.,0.1944,0.873,-0.068,0.6114
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My primary interest usually absorbs my thoughts first.,0.2323,0.706,-0.011,0.4566
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am persistent with the causes I choose to pursue.,-0.0128,0.535,0.238,0.4293
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My ambitions are typically long-term and stable.,0.0954,0.695,-0.001,0.4156
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am reluctant to shift my main efforts from a successful path.,0.131,0.55,0.199,0.5162
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My energy is usually directed towards my central interests.,0.1697,0.721,-0.054,0.4176
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I do not often entertain shifting my fundamental ambitions.,0.2163,0.668,0.03,0.4614
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I am steadfast in the direction of my primary drive.,0.1327,0.817,-0.085,0.4436
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,"When I am focused on a main aim, I rarely let my attention wander.",0.2969,0.671,0.094,0.6212
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My principal goals keep my motivation consistent over time.,0.0191,0.664,0.022,0.4438
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I prefer to delve deeply rather than pursue many things lightly.,0.1635,0.436,0.232,0.4329
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,My commitment to my most important ideas remains strong.,0.0893,0.723,-0.038,0.4213
deepseek × No-RAG,deepseek,No-RAG,Consistency of Interest,I have a consistent drive toward a specific type of achievement.,0.089,0.579,0.175,0.5036
