Scale,Model,Condition,Item_Text
Consistency of Interest,gpt,RAG,I find it easy to commit to one goal.
Consistency of Interest,gpt,RAG,I often switch between different interests too frequently.
Consistency of Interest,gpt,RAG,I usually stay dedicated to my current project.
Consistency of Interest,gpt,RAG,I struggle to ignore new ideas while working.
Consistency of Interest,gpt,RAG,"Once I choose a direction, I rarely change it."
Consistency of Interest,gpt,RAG,I frequently abandon plans for new pursuits.
Consistency of Interest,gpt,RAG,I enjoy continuously developing my primary interest.
Consistency of Interest,gpt,RAG,It's challenging for me to focus on a single ambition.
Consistency of Interest,gpt,RAG,I tend to see projects through to the end.
Consistency of Interest,gpt,RAG,I frequently lose interest in my current goals.
Consistency of Interest,gpt,RAG,My enthusiasm for a single venture lasts a long time.
Consistency of Interest,gpt,RAG,I have difficulty resisting the temptation to start new things.
Consistency of Interest,gpt,RAG,I’m consistent in following my main passion.
Consistency of Interest,gpt,RAG,I frequently get sidetracked by new opportunities.
Consistency of Interest,gpt,RAG,I can remain focused on long-term projects.
Consistency of Interest,gpt,RAG,I often feel drawn away from my current endeavors.
Consistency of Interest,gpt,RAG,I prioritize deepening my expertise in one area.
Consistency of Interest,gpt,RAG,I have trouble sticking with my focused goals.
Consistency of Interest,gpt,RAG,I tend to follow through on my chosen ambitions.
Consistency of Interest,gpt,RAG,I'm easily tempted to start fresh ideas before finishing.
Consistency of Interest,gpt,RAG,I commit fully to my current objectives.
Consistency of Interest,gpt,RAG,I often feel restless with prolonged tasks.
Consistency of Interest,gpt,RAG,I derive satisfaction from pursuing one interest deeply.
Consistency of Interest,gpt,RAG,I can maintain my focus without distraction.
Consistency of Interest,gpt,RAG,I find it hard to resist changing my focus.
Consistency of Interest,gpt,RAG,I am intentional about developing a singular ambition.
Consistency of Interest,gpt,RAG,I frequently chase after new interests.
Consistency of Interest,gpt,RAG,My attention remains steady on my primary goal.
Consistency of Interest,gpt,RAG,I often feel the urge to shift to new projects.
Consistency of Interest,gpt,RAG,I stick with my plans until they've reached completion.
Consistency of Interest,gpt,RAG,I am easily swayed by the allure of new ideas.
Consistency of Interest,gpt,RAG,I steadily pursue my interests without wavering.
Consistency of Interest,gpt,RAG,I struggle with maintaining focus on a long-term goal.
Consistency of Interest,gpt,RAG,I am capable of seeing my ambitions through.
Consistency of Interest,gpt,RAG,I often feel like I can’t settle on one pursuit.
Consistency of Interest,gpt,RAG,I thrive on dedicating myself to my main objective.
Consistency of Interest,gpt,RAG,I commonly feel the pull towards different passions.
Consistency of Interest,gpt,RAG,I invest time in mastering my select interests.
Consistency of Interest,gpt,RAG,I often lose focus when new projects arise.
Consistency of Interest,gpt,RAG,I take pride in my ability to stay committed.
Perseverance of Effort,gpt,RAG,I keep pushing through even when I face challenges.
Perseverance of Effort,gpt,RAG,I often give up when I encounter obstacles.
Perseverance of Effort,gpt,RAG,I maintain my effort even when tasks become difficult.
Perseverance of Effort,gpt,RAG,It's easy for me to walk away from tough projects.
Perseverance of Effort,gpt,RAG,I stay the course when I encounter setbacks.
Perseverance of Effort,gpt,RAG,I tend to quit when things get overwhelming.
Perseverance of Effort,gpt,RAG,"I finish what I start, no matter the difficulties."
Perseverance of Effort,gpt,RAG,I allow myself to get discouraged by problems.
Perseverance of Effort,gpt,RAG,"I consistently put in effort, regardless of the outcome."
Perseverance of Effort,gpt,RAG,I struggle to keep going when faced with hardship.
Perseverance of Effort,gpt,RAG,I am determined to overcome hurdles in my work.
Perseverance of Effort,gpt,RAG,I tend to abandon tasks when they become complex.
Perseverance of Effort,gpt,RAG,I persevere through tough situations until I succeed.
Perseverance of Effort,gpt,RAG,I frequently lose motivation when challenges arise.
Perseverance of Effort,gpt,RAG,I reconcile my efforts even when progress is slow.
Perseverance of Effort,gpt,RAG,I sometimes stop trying when faced with setbacks.
Perseverance of Effort,gpt,RAG,"I work diligently, no matter how hard the situation gets."
Perseverance of Effort,gpt,RAG,I can easily become frustrated and stop working.
Perseverance of Effort,gpt,RAG,I keep my focus and effort until the task is complete.
Perseverance of Effort,gpt,RAG,I find it hard to continue when things don't go as planned.
Perseverance of Effort,gpt,RAG,I push myself to finish even the most challenging tasks.
Perseverance of Effort,gpt,RAG,I often let difficulties discourage me from finishing.
Perseverance of Effort,gpt,RAG,I prioritize finishing tasks despite encountering difficulties.
Perseverance of Effort,gpt,RAG,I give in to distractions when the work becomes tough.
Perseverance of Effort,gpt,RAG,I adapt my strategies to stay committed to my goals.
Perseverance of Effort,gpt,RAG,I let setbacks dictate my level of effort.
Perseverance of Effort,gpt,RAG,I strive to maintain high levels of effort when facing issues.
Perseverance of Effort,gpt,RAG,I easily lose sight of my objectives when challenged.
Perseverance of Effort,gpt,RAG,I remain persistent even when results are disappointing.
Perseverance of Effort,gpt,RAG,I tend to shift my attention to simpler tasks when things get tough.
Perseverance of Effort,gpt,RAG,I commit to finishing all my responsibilities.
Perseverance of Effort,gpt,RAG,I often feel like giving up when the going gets tough.
Perseverance of Effort,gpt,RAG,I seek solutions rather than surrendering when issues arise.
Perseverance of Effort,gpt,RAG,I maintain my effort even in the face of adversity.
Perseverance of Effort,gpt,RAG,I find it challenging to keep going when I experience setbacks.
Perseverance of Effort,gpt,RAG,I ultimately see tasks through to their completion.
Perseverance of Effort,gpt,RAG,I allow challenges to derail my progress.
Perseverance of Effort,gpt,RAG,I am relentless in achieving my objectives despite difficulties.
Perseverance of Effort,gpt,RAG,I struggle to stay engaged when faced with hurdles.
Perseverance of Effort,gpt,RAG,I find pride in completing difficult tasks.
