Scale,Model,Condition,Item_Text
Consistency of Interest,llama,Re-Ranked RAG,Stick to one project until it's completed.
Consistency of Interest,llama,Re-Ranked RAG,Avoid getting sidetracked by new ideas.
Consistency of Interest,llama,Re-Ranked RAG,Can focus on a single goal for a long time.
Consistency of Interest,llama,Re-Ranked RAG,Often switch between different hobbies.
Consistency of Interest,llama,Re-Ranked RAG,Usually finish what I start before moving on.
Consistency of Interest,llama,Re-Ranked RAG,Tend to jump from one interest to another.
Consistency of Interest,llama,Re-Ranked RAG,Make a plan and follow it through.
Consistency of Interest,llama,Re-Ranked RAG,Get bored with tasks that take too long.
Consistency of Interest,llama,Re-Ranked RAG,Prioritize tasks to achieve long-term goals.
Consistency of Interest,llama,Re-Ranked RAG,Find it hard to settle on one career path.
Consistency of Interest,llama,Re-Ranked RAG,Stay committed to my long-term objectives.
Consistency of Interest,llama,Re-Ranked RAG,Have a hard time resisting new distractions.
Consistency of Interest,llama,Re-Ranked RAG,Normally see projects through to the end.
Consistency of Interest,llama,Re-Ranked RAG,Seldom abandon tasks halfway through.
Consistency of Interest,llama,Re-Ranked RAG,Easily get distracted by social media.
Consistency of Interest,llama,Re-Ranked RAG,Stay on track even when tasks get tedious.
Consistency of Interest,llama,Re-Ranked RAG,Tend to lose interest in activities quickly.
Consistency of Interest,llama,Re-Ranked RAG,Set and maintain clear priorities.
Consistency of Interest,llama,Re-Ranked RAG,Rarely change my mind about important goals.
Consistency of Interest,llama,Re-Ranked RAG,Am often drawn to the latest trends.
Consistency of Interest,llama,Re-Ranked RAG,Can maintain attention on a task for hours.
Consistency of Interest,llama,Re-Ranked RAG,Frequently change my mind about what to do.
Consistency of Interest,llama,Re-Ranked RAG,Stay engaged in activities even when they're challenging.
Consistency of Interest,llama,Re-Ranked RAG,Usually follow through on my commitments.
Consistency of Interest,llama,Re-Ranked RAG,Get restless when doing the same task repeatedly.
Consistency of Interest,llama,Re-Ranked RAG,Focus on one task at a time to get it done.
Consistency of Interest,llama,Re-Ranked RAG,Often find myself switching between tasks.
Consistency of Interest,llama,Re-Ranked RAG,Make a schedule and stick to it.
Consistency of Interest,llama,Re-Ranked RAG,Seldom get tired of doing the same thing.
Consistency of Interest,llama,Re-Ranked RAG,Stay motivated to complete a difficult task.
Consistency of Interest,llama,Re-Ranked RAG,Tend to explore many different fields of study.
Consistency of Interest,llama,Re-Ranked RAG,Rarely procrastinate when faced with a task.
Consistency of Interest,llama,Re-Ranked RAG,Can work on a task without taking breaks.
Consistency of Interest,llama,Re-Ranked RAG,Find it challenging to dedicate time to one task.
Consistency of Interest,llama,Re-Ranked RAG,Prioritize quality over exploring new ideas.
Consistency of Interest,llama,Re-Ranked RAG,Stay on one task even when it gets monotonous.
Perseverance of Effort,llama,Re-Ranked RAG,Push through challenges to achieve goals.
Perseverance of Effort,llama,Re-Ranked RAG,Difficulty motivates me to work harder.
Perseverance of Effort,llama,Re-Ranked RAG,I give up when tasks become too demanding.
Perseverance of Effort,llama,Re-Ranked RAG,Overcoming obstacles is essential to success.
Perseverance of Effort,llama,Re-Ranked RAG,Setbacks make me question my abilities.
Perseverance of Effort,llama,Re-Ranked RAG,I remain committed to my objectives.
Perseverance of Effort,llama,Re-Ranked RAG,Challenges are opportunities for growth and learning.
Perseverance of Effort,llama,Re-Ranked RAG,I often struggle to regain momentum after a failure.
Perseverance of Effort,llama,Re-Ranked RAG,My determination grows when faced with resistance.
Perseverance of Effort,llama,Re-Ranked RAG,I easily lose interest in tasks that are too difficult.
Perseverance of Effort,llama,Re-Ranked RAG,Hard work and persistence are essential for success.
Perseverance of Effort,llama,Re-Ranked RAG,I avoid tasks that may lead to disappointment.
Perseverance of Effort,llama,Re-Ranked RAG,"When faced with a problem, I try to find a solution."
Perseverance of Effort,llama,Re-Ranked RAG,I become discouraged when my efforts are not recognized.
Perseverance of Effort,llama,Re-Ranked RAG,Obstacles help me develop new skills and strategies.
Perseverance of Effort,llama,Re-Ranked RAG,Giving up is not an option for me.
Perseverance of Effort,llama,Re-Ranked RAG,Frustration leads me to abandon my goals.
Perseverance of Effort,llama,Re-Ranked RAG,"The harder the task, the more I am motivated."
Perseverance of Effort,llama,Re-Ranked RAG,I am derailed by minor setbacks and disappointments.
Perseverance of Effort,llama,Re-Ranked RAG,Success is the result of persistence and dedication.
Perseverance of Effort,llama,Re-Ranked RAG,I lack the energy to continue when faced with difficulties.
Perseverance of Effort,llama,Re-Ranked RAG,Every failure brings me closer to success.
Perseverance of Effort,llama,Re-Ranked RAG,I am hesitant to take on challenging tasks.
Perseverance of Effort,llama,Re-Ranked RAG,Working through tough times is necessary for achievement.
Perseverance of Effort,llama,Re-Ranked RAG,"When faced with adversity, I look for ways to improve."
Perseverance of Effort,llama,Re-Ranked RAG,I am paralyzed by fear of failure.
Perseverance of Effort,llama,Re-Ranked RAG,Challenging situations bring out the best in me.
Perseverance of Effort,llama,Re-Ranked RAG,Setbacks are a normal part of the learning process.
Perseverance of Effort,llama,Re-Ranked RAG,I have trouble bouncing back from criticism.
Perseverance of Effort,llama,Re-Ranked RAG,Determination helps me power through difficult situations.
Perseverance of Effort,llama,Re-Ranked RAG,I let setbacks hold me back from pursuing my goals.
Perseverance of Effort,llama,Re-Ranked RAG,The possibility of failure stops me from trying.
Perseverance of Effort,llama,Re-Ranked RAG,Working hard leads to achieving my objectives.
Perseverance of Effort,llama,Re-Ranked RAG,I am not bothered by temporary setbacks and failures.
Perseverance of Effort,llama,Re-Ranked RAG,Achieving my goals is worth the effort and struggle.
Perseverance of Effort,llama,Re-Ranked RAG,"Faced with a roadblock, I search for an alternative route."
