Scale,Model,Condition,Item_Text
Consistency of Interest,deepseek,Re-Ranked RAG,I consistently pursue one main goal to completion.
Consistency of Interest,deepseek,Re-Ranked RAG,I think carefully before committing to a new idea.
Consistency of Interest,deepseek,Re-Ranked RAG,My interests have a clear direction over time.
Consistency of Interest,deepseek,Re-Ranked RAG,A persistent project requires more from me than frequent changes.
Consistency of Interest,deepseek,Re-Ranked RAG,I value seeing a task through until it's done.
Consistency of Interest,deepseek,Re-Ranked RAG,Novel ideas that arise aren't usually my first concern.
Consistency of Interest,deepseek,Re-Ranked RAG,I have a consistent vision for my professional life.
Consistency of Interest,deepseek,Re-Ranked RAG,"When a new passion emerges, I evaluate its fit."
Consistency of Interest,deepseek,Re-Ranked RAG,Long-term dedication is more satisfying than constant change.
Consistency of Interest,deepseek,Re-Ranked RAG,I find it challenging to start something new instead of finishing old.
Consistency of Interest,deepseek,Re-Ranked RAG,Shifting interests often leave me feeling dissatisfied.
Consistency of Interest,deepseek,Re-Ranked RAG,I tend to evaluate if a new interest aligns with my core aims.
Consistency of Interest,deepseek,Re-Ranked RAG,Discipline is required to maintain focus on a single objective.
Consistency of Interest,deepseek,Re-Ranked RAG,Old ideas from years ago still resonate with me.
Consistency of Interest,deepseek,Re-Ranked RAG,I avoid letting new possibilities derail my primary ambitions.
Consistency of Interest,deepseek,Re-Ranked RAG,My core interests rarely change once established.
Consistency of Interest,deepseek,Re-Ranked RAG,I stay engaged with a long-term pursuit even if it's not exciting.
Consistency of Interest,deepseek,Re-Ranked RAG,Frequent switching between interests disrupts my productivity.
Consistency of Interest,deepseek,Re-Ranked RAG,"My drive is often centered on a single, long-term objective."
Consistency of Interest,deepseek,Re-Ranked RAG,I find it difficult to get distracted by immediate new interests.
Consistency of Interest,deepseek,Re-Ranked RAG,I persistently follow through on what I consider important.
Consistency of Interest,deepseek,Re-Ranked RAG,I prefer dedicating my energy to one main endeavor.
Consistency of Interest,deepseek,Re-Ranked RAG,Even small changes in interest can be disruptive.
Consistency of Interest,deepseek,Re-Ranked RAG,I don't let momentary excitement pull me from my focus.
Consistency of Interest,deepseek,Re-Ranked RAG,I tend to hold onto my core interests regardless of circumstances.
Consistency of Interest,deepseek,Re-Ranked RAG,I am patient while working towards a sustained objective.
Consistency of Interest,deepseek,Re-Ranked RAG,My dedication doesn't waver with shifting trends.
Consistency of Interest,deepseek,Re-Ranked RAG,I am loyal to the themes I've always been passionate about.
Consistency of Interest,deepseek,Re-Ranked RAG,Committing to a long-term aim brings me greater fulfillment.
Consistency of Interest,deepseek,Re-Ranked RAG,I feel the need to finish what I began before starting something new.
Consistency of Interest,deepseek,Re-Ranked RAG,My interests are guided by a consistent principle or value.
Consistency of Interest,deepseek,Re-Ranked RAG,I resist abandoning a project because of new ideas.
Consistency of Interest,deepseek,Re-Ranked RAG,Loyalty to a cause is a trait I value highly.
Consistency of Interest,deepseek,Re-Ranked RAG,My determination helps me maintain focus on enduring pursuits.
Consistency of Interest,deepseek,Re-Ranked RAG,I have a clear sense of direction regarding my interests.
Consistency of Interest,deepseek,Re-Ranked RAG,I evaluate how a new interest compares to my existing ones.
Consistency of Interest,deepseek,Re-Ranked RAG,It's important for me to follow through on my commitments.
Consistency of Interest,deepseek,Re-Ranked RAG,Discipline helps me maintain concentration on a sustained objective.
Consistency of Interest,deepseek,Re-Ranked RAG,I find myself easily drawn to new possibilities.
Consistency of Interest,deepseek,Re-Ranked RAG,Long-term focus often requires discipline.
Perseverance of Effort,deepseek,Re-Ranked RAG,I pressed onward through the frustrating part.
Perseverance of Effort,deepseek,Re-Ranked RAG,I never give up once I've started something.
Perseverance of Effort,deepseek,Re-Ranked RAG,Difficulties often motivate me to work even harder.
Perseverance of Effort,deepseek,Re-Ranked RAG,Obstacles tend to derail my efforts.
Perseverance of Effort,deepseek,Re-Ranked RAG,I can lose momentum if I face too many setbacks.
Perseverance of Effort,deepseek,Re-Ranked RAG,I often complete tasks that others might abandon.
Perseverance of Effort,deepseek,Re-Ranked RAG,"When faced with a challenge, I just push through."
Perseverance of Effort,deepseek,Re-Ranked RAG,My focus gets derailed by unexpected problems.
Perseverance of Effort,deepseek,Re-Ranked RAG,"I usually see things through to the end, even if it's tough."
Perseverance of Effort,deepseek,Re-Ranked RAG,Setbacks make me wonder if I can actually achieve my goals.
Perseverance of Effort,deepseek,Re-Ranked RAG,"If a task is important to me, I'll find a way to finish it."
Perseverance of Effort,deepseek,Re-Ranked RAG,I have a tendency to quit when things get too hard.
Perseverance of Effort,deepseek,Re-Ranked RAG,I stick with problems until they are solved.
Perseverance of Effort,deepseek,Re-Ranked RAG,I sometimes abandon efforts that seem increasingly difficult.
Perseverance of Effort,deepseek,Re-Ranked RAG,I persevere on tasks that initially feel overwhelming.
Perseverance of Effort,deepseek,Re-Ranked RAG,"When faced with obstacles, I tend to dig deeper."
Perseverance of Effort,deepseek,Re-Ranked RAG,I often find myself making excuses when something gets difficult.
Perseverance of Effort,deepseek,Re-Ranked RAG,"I complete what I start, even with setbacks."
Perseverance of Effort,deepseek,Re-Ranked RAG,I give up easily when faced with persistent challenges.
Perseverance of Effort,deepseek,Re-Ranked RAG,My persistence is strong even when progress seems slow.
Perseverance of Effort,deepseek,Re-Ranked RAG,I don't like to see things through if they are too difficult.
Perseverance of Effort,deepseek,Re-Ranked RAG,It takes a lot for me to see a difficult task through to the end.
Perseverance of Effort,deepseek,Re-Ranked RAG,I find it easy to pick up a task again after hitting a roadblock.
Perseverance of Effort,deepseek,Re-Ranked RAG,I can become discouraged and stop trying if faced with too many setbacks.
Perseverance of Effort,deepseek,Re-Ranked RAG,I don't let difficulties stop me from completing what I've started.
Perseverance of Effort,deepseek,Re-Ranked RAG,I tend to lose interest in tasks that encounter obstacles along the way.
Perseverance of Effort,deepseek,Re-Ranked RAG,I have a hard time finishing things when I face repeated difficulties.
Perseverance of Effort,deepseek,Re-Ranked RAG,"Starting something is easy for me, but finishing is tough."
Perseverance of Effort,deepseek,Re-Ranked RAG,"When obstacles arise, I usually find a way around them."
Perseverance of Effort,deepseek,Re-Ranked RAG,I don't mind spending the extra time needed to finish a task properly.
Perseverance of Effort,deepseek,Re-Ranked RAG,I often feel defeated by the smallest setback on a task.
Perseverance of Effort,deepseek,Re-Ranked RAG,My ability to stick with things is admirable to some.
Perseverance of Effort,deepseek,Re-Ranked RAG,Setbacks make it hard for me to stay engaged with a task.
Perseverance of Effort,deepseek,Re-Ranked RAG,I am known for completing the things I begin.
Perseverance of Effort,deepseek,Re-Ranked RAG,Nothing seems to deter me from finishing what I set out to do.
Perseverance of Effort,deepseek,Re-Ranked RAG,Finishing tasks is not always my strong point.
