Scale,Model,Condition,Item_Text
Consistency of Interest,llama,No-RAG,I often find myself fully committed to a single goal.
Consistency of Interest,llama,No-RAG,New ideas rarely distract me from my current project.
Consistency of Interest,llama,No-RAG,It's hard for me to resist exploring new hobbies.
Consistency of Interest,llama,No-RAG,I get bored with tasks that require a long time to complete.
Consistency of Interest,llama,No-RAG,My goals tend to remain the same over time.
Consistency of Interest,llama,No-RAG,I frequently switch between different activities to avoid boredom.
Consistency of Interest,llama,No-RAG,"A single, long-term objective drives most of my decisions."
Consistency of Interest,llama,No-RAG,Shifting priorities is not a problem for me.
Consistency of Interest,llama,No-RAG,"I tend to see projects through to the end, no matter what."
Consistency of Interest,llama,No-RAG,Jumping between tasks helps me stay energized and motivated.
Consistency of Interest,llama,No-RAG,My interests remain stable even when circumstances change.
Consistency of Interest,llama,No-RAG,Exploring various interests is more fun than focusing on one.
Consistency of Interest,llama,No-RAG,I prioritize completing my current task over starting a new one.
Consistency of Interest,llama,No-RAG,The thrill of a new project often leads me to abandon the old.
Consistency of Interest,llama,No-RAG,"When faced with a problem, I usually try to find one solution and stick to it."
Consistency of Interest,llama,No-RAG,Completing a task is more important to me than exploring new ideas.
Consistency of Interest,llama,No-RAG,A multitude of projects competing for my attention can be overwhelming.
Consistency of Interest,llama,No-RAG,"Once I start something, I'm determined to finish it."
Consistency of Interest,llama,No-RAG,New experiences are essential to prevent stagnation in my life.
Consistency of Interest,llama,No-RAG,My friends would describe me as someone who sticks to what they start.
Consistency of Interest,llama,No-RAG,The idea of dedicating years to one pursuit seems appealing to me.
Consistency of Interest,llama,No-RAG,Abandoning a goal mid-way is not something I usually do.
Consistency of Interest,llama,No-RAG,It's essential for me to try out different activities to find the best fit.
Consistency of Interest,llama,No-RAG,Pursuing one major goal at a time is my preferred approach.
Consistency of Interest,llama,No-RAG,"If a task doesn't immediately capture my interest, I tend to move on."
Consistency of Interest,llama,No-RAG,Devoting myself to a single cause is crucial for achieving success.
Consistency of Interest,llama,No-RAG,Constantly changing my focus helps keep my mind sharp.
Consistency of Interest,llama,No-RAG,My interests evolve rapidly as I learn more about the world.
Consistency of Interest,llama,No-RAG,"When working on a project, I try to avoid distractions and stay focused."
Consistency of Interest,llama,No-RAG,Long-term dedication to a single pursuit can be suffocating.
Consistency of Interest,llama,No-RAG,Staying on track with my current project is relatively easy for me.
Consistency of Interest,llama,No-RAG,I'm not tempted by new opportunities when I'm mid-project.
Consistency of Interest,llama,No-RAG,Focusing on one task for an extended period bores me.
Consistency of Interest,llama,No-RAG,"Having one clear, long-term aspiration helps me make decisions."
Consistency of Interest,llama,No-RAG,A multitude of options for projects often leaves me indecisive.
Consistency of Interest,llama,No-RAG,I'm inclined to thoroughly explore one subject rather than skimming many.
Consistency of Interest,llama,No-RAG,Starting a new project before finishing the current one is common for me.
Consistency of Interest,llama,No-RAG,Completing a task from start to finish without interruption is satisfying.
Consistency of Interest,llama,No-RAG,It's challenging for me to settle on just one thing I want to achieve.
Consistency of Interest,llama,No-RAG,"My long-term goals rarely change, even when faced with setbacks."
Perseverance of Effort,llama,No-RAG,"I always push myself to finish what I start, even when it gets tough."
Perseverance of Effort,llama,No-RAG,"When faced with obstacles, I give up easily and look for a simpler task."
Perseverance of Effort,llama,No-RAG,I am willing to put in extra effort to achieve my long-term goals.
Perseverance of Effort,llama,No-RAG,Difficulty motivates me to work even harder to succeed.
Perseverance of Effort,llama,No-RAG,I tend to abandon projects that are not going as smoothly as I had hoped.
Perseverance of Effort,llama,No-RAG,My determination to succeed helps me overcome setbacks and failures.
Perseverance of Effort,llama,No-RAG,I often find myself procrastinating when faced with challenging tasks.
Perseverance of Effort,llama,No-RAG,"When I encounter a problem, I try to find a way around it and continue moving forward."
Perseverance of Effort,llama,No-RAG,I can become easily discouraged and quit when things do not go my way.
Perseverance of Effort,llama,No-RAG,"I am committed to seeing my projects through to completion, no matter what."
Perseverance of Effort,llama,No-RAG,I usually start strong but lose momentum as tasks become more difficult.
Perseverance of Effort,llama,No-RAG,Challenging situations make me more persistent and driven to succeed.
Perseverance of Effort,llama,No-RAG,I have a hard time sticking with a task when it becomes boring or tedious.
Perseverance of Effort,llama,No-RAG,"My goals are important to me, and I will do whatever it takes to achieve them."
Perseverance of Effort,llama,No-RAG,I often struggle to maintain my focus and motivation over the long term.
Perseverance of Effort,llama,No-RAG,"When I fail, I use it as an opportunity to learn and try again."
Perseverance of Effort,llama,No-RAG,I am not afraid to take on difficult tasks and see them through to the end.
Perseverance of Effort,llama,No-RAG,I sometimes lack the stamina to push through and finish what I started.
Perseverance of Effort,llama,No-RAG,I believe that perseverance is essential for achieving success in any area of life.
Perseverance of Effort,llama,No-RAG,Giving up on a task is often the easiest and most appealing option for me.
Perseverance of Effort,llama,No-RAG,"I am driven to succeed, even when the journey gets long and arduous."
Perseverance of Effort,llama,No-RAG,"When faced with a difficult decision, I tend to put it off rather than tackle it head-on."
Perseverance of Effort,llama,No-RAG,My resolve strengthens when I am faced with opposition or criticism.
